15, 11
23, 11
31, 11
49, 11
56, 11
64, 11
72, 11
80, 11
98, 11
106, 11
114, 11
122, 11
130, 11
148, 11
155, 11
189, 11
205, 11
254, 11
262, 11
288, 11
296, 11
304, 11
320, 11
338, 11
346, 11
379, 11
403, 11
452, 11
502, 11
601, 11
700, 11
809, 11
908, 11
924, 11
940, 11
1005, 11
1104, 11
1203, 11
1302, 11
1401, 11
1435, 11
1450, 11
1468, 11
1476, 11
1484, 11
1492, 11
1500, 11
1559, 11
1609, 11
1708, 11
1757, 11
1807, 11
13, 12
54, 12
104, 12
138, 12
179, 12
203, 12
252, 12
302, 12
328, 12
336, 12
344, 12
351, 12
385, 12
393, 12
401, 12
427, 12
435, 12
450, 12
500, 12
609, 12
708, 12
807, 12
29, 13
60, 13
86, 13
102, 13
144, 13
201, 13
300, 13
409, 13
508, 13
607, 13
631, 13
680, 13
706, 13
805, 13
839, 13
904, 13
1001, 13
1100, 13
1159, 13
1209, 13
1308, 13
1407, 13
1506, 13
1605, 13
1654, 13
1704, 13
1803, 13
1852, 13
1902, 13
1951, 13
2009, 13
2108, 13
2207, 13
2306, 13
2405, 13
2504, 13
2553, 13
2603, 13
2702, 13
2801, 13
2900, 13
3007, 13
3106, 13
3205, 13
3304, 13
3403, 13
3502, 13
3536, 13
3569, 13
3601, 13
3700, 13
3809, 13
3908, 13
3957, 13
4005, 13
4062, 13
4104, 13
4203, 13
4237, 13
4260, 13
4302, 13
4401, 13
27, 14
50, 14
100, 14
159, 14
175, 14
209, 14
233, 14
282, 14
308, 14
407, 14
456, 14
472, 14
506, 14
605, 14
704, 14
107, 15
131, 15
206, 15
305, 15
347, 15
404, 15
503, 15
602, 15
701, 15
800, 15
859, 15
909, 15
958, 15
1006, 15
1105, 15
1204, 15
1253, 15
1303, 15
1402, 15
1451, 15
1501, 15
1576, 15
1600, 15
1709, 15
1725, 15
1758, 15
1782, 15
1808, 15
1907, 15
1956, 15
2004, 15
2103, 15
2152, 15
2202, 15
2301, 15
2400, 15
2509, 15
2608, 15
2707, 15
2756, 15
2764, 15
2772, 15
2806, 15
2855, 15
2905, 15
2939, 15
2954, 15
3002, 15
3044, 15
3077, 15
3093, 15
3101, 15
3200, 15
3309, 15
3408, 15
3457, 15
3507, 15
3606, 15
3705, 15
3754, 15
3804, 15
3903, 15
4000, 15
4059, 15
4109, 15
4208, 15
4307, 15
4406, 15
4422, 15
4455, 15
4505, 15
4604, 15
4703, 15
4752, 15
4802, 15
4901, 15
4950, 15
4976, 15
5007, 15
5031, 15
5064, 15
5106, 15
5205, 15
5304, 15
5403, 15
5437, 15
5486, 15
5494, 15
5502, 15
5536, 15
5551, 15
5601, 15
5635, 15
5650, 15
5700, 15
5809, 15
5908, 15
