15,958,Aurora do Para,6527,1
15,1006,Aveiro,6479,1
15,1105,Bagre,6380,1
15,1204,Baiao,6281,1
15,1253,Bannach,6232,1
15,1303,Barcarena,6182,1
15,1402,Belem,6083,1
15,1451,Belterra,6034,1
15,1501,Benevides,5984,1
15,1576,Bom Jesus do Tocantins,5909,1
15,1600,Bonito,5885,1
15,1709,Braganca,5776,1
15,1725,Brasil Novo,5760,1
15,1758,Brejo Grande do Araguaia,5727,1
15,1782,Breu Branco,5703,1
15,1808,Breves,5677,1
15,1907,Bujaru,5578,1
15,1956,Cachoeira do Piria,5529,1
15,2004,Cachoeira do Arari,5481,1
15,2103,Cameta,5382,1
15,2152,Canaa dos Carajas,5333,1
15,2202,Capanema,5283,1
15,2301,Capitao Poco,5184,1
15,2400,Castanhal,5085,1
15,2509,Chaves,4976,1
15,2608,Colares,4877,1
15,2707,Conceicao do Araguaia,4778,1
15,2756,Concordia do Para,4729,1
15,2764,Cumaru do Norte,4721,1
15,2772,Curionopolis,4713,1
15,2806,Curralinho,4679,1
15,2855,Curua,4630,1
15,2905,Curuca,4580,1
15,2939,Dom Eliseu,4546,1
15,2954,Eldorado do Carajas,4531,1
15,3002,Faro,4483,1
15,3044,Floresta do Araguaia,4441,1
15,3077,Garrafao do Norte,4408,1
15,3093,Goianesia do Para,4392,1
15,3101,Gurupa,4384,1
15,3200,Igarape-Acu,4285,1
15,3309,Igarape-Miri,4176,1
15,3408,Inhangapi,4077,1
15,3457,Ipixuna do Para,4028,1
15,3507,Irituia,3978,1
15,3606,Itaituba,3879,1
15,3705,Itupiranga,3780,1
15,3754,Jacareacanga,3731,1
15,3804,Jacunda,3681,1
15,3903,Juruti,3582,1
15,4000,Limoeiro do Ajuru,3485,1
15,4059,Mae do Rio,3426,1
15,4109,Magalhaes Barata,3376,1
15,4208,Maraba,3277,1
15,4307,Maracana,3178,1
15,4406,Marapanim,3079,1
15,4422,Marituba,3063,1
15,4455,Medicilandia,3030,1
15,4505,Melgaco,2980,1
15,4604,Mocajuba,2881,1
15,4703,Moju,2782,1
15,4752,Mojui dos Campos,2733,1
15,4802,Monte Alegre,2683,1
